tray;pot;position;genotype;treatment
19;30;19_30;HE;#1
19;31;19_31;Col0;#3
19;32;19_32;Schl;#1
19;33;19_33;Lu;Control
19;34;19_34;Schl;#2
19;35;19_35;Kus;#2
19;36;19_36;Kus;#1
19;37;19_37;HE;#1+s14
19;38;19_38;Eyach;#1
19;39;19_39;Eyach;#2
19;4;19_4;Tu-Wal_acd6;#1
19;40;19_40;Col0_acd6;Control
19;41;19_41;Kus;#3
19;42;19_42;Tu-Wal_ics1;#2
19;43;19_43;Kus;Control
19;44;19_44;Lu;#2
19;45;19_45;Col0;Control
19;46;19_46;HE;#2
19;47;19_47;Tu-Wal_ics1;Control
19;48;19_48;sid2-2;Control
19;5;19_5;Lu;#3
19;6;19_6;HE;#1+s17
19;7;19_7;Tu-Wal_acd6;#3
19;8;19_8;Lu;#1
19;9;19_9;Col0_acd6;#2
2;1;2_1;Tu-Wal_ics1;Control
2;10;2_10;sid2-2;Control
2;11;2_11;Eyach;Control
2;12;2_12;Tu-Wal_acd6;Control
2;13;2_13;HE;Control
2;14;2_14;Tu-Wal_acd6;#1
2;15;2_15;Lu;#1
2;16;2_16;sid2-2;#3
2;17;2_17;Eyach;#2
2;18;2_18;Kus;#2
2;19;2_19;Lu;#3
2;2;2_2;HE;#3
2;20;2_20;Tu-Wal;Control
2;21;2_21;HE;#2
2;22;2_22;sid2-2;#2
2;23;2_23;Tu-Wal;#3
2;24;2_24;Schl;#2
2;25;2_25;Schl;Control
2;26;2_26;Kus;#3
2;27;2_27;HE;#1+s14
2;28;2_28;Tu-Wal_ics1;#1
2;29;2_29;Tu-Wal_ics1;#2
2;3;2_3;Col0;#1
2;30;2_30;HE;#1+s13
2;31;2_31;Tu-Wal_ics1;#3
2;32;2_32;Col0;#2
2;33;2_33;Tu-Wal;#2
2;34;2_34;Col0_acd6;#1
2;35;2_35;Col0_acd6;#2
2;36;2_36;Lu;Control
2;37;2_37;Tu-Wal_acd6;#2
2;38;2_38;Lu;#2
2;39;2_39;Schl;#3
2;4;2_4;Kus;Control
2;40;2_40;HE;#1
2;41;2_41;sid2-2;#1
2;42;2_42;HE;#1+s17
2;43;2_43;Schl;#1
2;44;2_44;Col0_acd6;Control
2;45;2_45;Col0;#3
2;46;2_46;HE;#1+s15
2;47;2_47;Col0;Control
2;48;2_48;Col0_acd6;#3
2;5;2_5;Kus;#1
2;6;2_6;Tu-Wal;#1
2;7;2_7;Tu-Wal_acd6;#3
2;8;2_8;Eyach;#1
2;9;2_9;Eyach;#3
20;1;20_1;Tu-Wal_acd6;#3
20;10;20_10;Tu-Wal_ics1;#2
20;11;20_11;Kus;#2
20;12;20_12;HE;#1+s15
20;13;20_13;sid2-2;#3
20;14;20_14;sid2-2;#1
20;15;20_15;Schl;Control
20;16;20_16;Tu-Wal;#2
20;17;20_17;Lu;#3
20;18;20_18;Lu;#2
20;19;20_19;Tu-Wal_ics1;#3
20;2;20_2;Eyach;#3
20;20;20_20;HE;#1
20;21;20_21;Tu-Wal_acd6;#2
20;22;20_22;Kus;Control
20;23;20_23;Kus;#1
20;24;20_24;Tu-Wal_ics1;#1
20;25;20_25;Col0_acd6;#2
20;26;20_26;Col0;Control
20;27;20_27;Eyach;#1
20;28;20_28;Col0;#1
20;29;20_29;Lu;Control
20;3;20_3;Kus;#3
20;30;20_30;Col0;#2
20;31;20_31;Schl;#2
20;32;20_32;HE;#1+s14
20;33;20_33;HE;#1+s13
20;34;20_34;Tu-Wal_acd6;Control
20;35;20_35;Schl;#1
20;36;20_36;HE;#2
20;37;20_37;Lu;#1
20;38;20_38;Eyach;#2
20;39;20_39;sid2-2;Control
20;4;20_4;HE;#3
20;40;20_40;Tu-Wal_ics1;Control
20;41;20_41;HE;#1+s17
20;42;20_42;Eyach;Control
20;43;20_43;Schl;#3
20;44;20_44;Tu-Wal_acd6;#1
20;45;20_45;Col0_acd6;#3
20;46;20_46;Col0_acd6;#1
20;47;20_47;Col0_acd6;Control
20;48;20_48;Tu-Wal;#3
20;5;20_5;Tu-Wal;#1
20;6;20_6;Col0;#3
20;7;20_7;Tu-Wal;Control
20;8;20_8;HE;Control
20;9;20_9;sid2-2;#2
21;1;21_1;Lu;#3
21;10;21_10;Eyach;#1
21;11;21_11;HE;#2
21;12;21_12;Schl;#2
21;13;21_13;Tu-Wal_acd6;#1
21;14;21_14;Eyach;#3
21;15;21_15;HE;#1+s13
21;16;21_16;Tu-Wal;#2
21;17;21_17;Tu-Wal;#3
21;18;21_18;Col0;#2
21;19;21_19;Tu-Wal;#1
21;2;21_2;sid2-2;#3
21;20;21_20;HE;#1+s14
21;21;21_21;HE;#1+s15
21;22;21_22;Eyach;#2
21;23;21_23;Kus;#1
21;24;21_24;Tu-Wal_ics1;#1
21;25;21_25;HE;Control
21;26;21_26;Tu-Wal_ics1;#2
21;27;21_27;Col0_acd6;#2
21;28;21_28;sid2-2;#2
21;29;21_29;sid2-2;#1
21;3;21_3;Tu-Wal_acd6;Control
21;30;21_30;Col0;#3
21;31;21_31;Col0_acd6;#3
